plus +;たす
equals =;わ
minus -;ひく
zero;ゼロ、れい 零
one;いち 一
two;に 二
three;さん 三
four;よん、し 四
five;ご 五
six;ろく 六
seven;なな、しち 七
eight;はち 八
nine;きゅう、く 九
ten;じゅう 十
eleven;じゅういち 十一
twelve;じゅうに 十二
thirteen;じゅうさん 十三
fourteen;じゅうよん、じゅうし 十四
fifteen;じゅうご 十五
sixteen;じゅうろく 十六
seventeen;じゅうなな、じゅうしち 十七
eighteen;じゅうはち 十八
nineteen;じゅうきゅう、じゅうく 十九
twenty;にじゅう 二十
thirty;さんじゅう 三十
forty;よんじゅう 四十
fifty;ごじゅう 五十
sixty;ろくじゅう 六十
seventy;ななじゅう 七十
eighty;はちじゅう 八十
ninety;きゅうじゅう 九十
hundred;ひゃく 百
thousand;せん 千
ten thousand;まん 万
